d,type,pos,dataset,layer,edges,k1,k2,h,batch_size,lr,weight_decay,batchnorm,act,dropout,gpool,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,model_id
cuda,dilapos_gnn,False,DD,gcnconv,False,2,3,64,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,999,0.0443,0.0028,22727.0,1.337,0.024,0.9952,0.0026,0.9974,0.0,0.9912,0.0062,0.9942,0.0031,0.9999,0.0001,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=3-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,2,3,64,32,0.01,0.0005,False,relu,0.0,mean,999,0.361,0.0803,22471.0,0.9284,0.0557,0.8574,0.0345,0.8682,0.0363,0.7697,0.0559,0.8158,0.0474,0.9136,0.0341,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=3-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,2,3,64,32,0.01,0.0005,False,relu,0.5,max_of_concat_layers,999,0.3696,0.0237,22727.0,0.9484,0.044,0.8406,0.0073,0.8268,0.0048,0.7767,0.0182,0.8008,0.0098,0.9112,0.0128,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=3-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,2,3,64,32,0.01,0.0005,False,relu,0.5,mean,955,0.4432,0.0,22471.0,1.3984,0.0,0.7975,0.0,0.7939,0.0,0.6805,0.0,0.7329,0.0,0.8649,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=3-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,3,1,32,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,999,0.081,0.0,6179.0,0.9186,0.0,0.9703,0.0,0.974,0.0,0.9542,0.0,0.964,0.0,0.9975,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=3-k2=1-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,3,1,32,32,0.01,0.0005,False,relu,0.0,mean,999,0.2078,0.0362,6083.0,0.8417,0.0585,0.9178,0.0193,0.9278,0.0287,0.8692,0.0212,0.8975,0.0239,0.9713,0.0109,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=3-k2=1-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,3,1,32,32,0.01,0.0005,False,relu,0.5,max_of_concat_layers,869,0.4063,0.0,6179.0,1.0364,0.0,0.825,0.0,0.8106,0.0,0.75,0.0,0.7791,0.0,0.887,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=3-k2=1-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,3,1,32,32,0.01,0.0005,False,relu,0.5,mean,999,0.5625,0.0,6083.0,0.7202,0.0,0.7232,0.0,0.7196,0.0,0.5448,0.0,0.6201,0.0,0.7603,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=3-k2=1-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,3,1,64,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,725,0.0677,0.0,18499.0,1.0474,0.0,0.982,0.0,0.9842,0.0,0.9714,0.0,0.9777,0.0,0.9986,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=3-k2=1-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,3,1,64,32,0.01,0.0005,False,relu,0.0,mean,999,0.6696,0.0,18307.0,0.6469,0.0,0.6193,0.0,0.6778,0.0,0.156,0.0,0.2536,0.0,0.5843,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=3-k2=1-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
