d,type,pos,dataset,layer,edges,k1,k2,h,batch_size,lr,weight_decay,batchnorm,act,dropout,gpool,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,model_id
cuda,dilapos_gnn,False,DD,gcnconv,False,2,2,32,32,0.01,0.0005,False,relu,0.0,mean,938,0.229,0.0127,6085.0,0.7486,0.0238,0.913,0.0116,0.9178,0.0025,0.8716,0.0278,0.894,0.0159,0.9664,0.0044,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=2-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,2,2,32,32,0.01,0.0005,False,relu,0.5,max_of_concat_layers,984,0.3905,0.0041,6181.0,0.7579,0.0283,0.8312,0.0088,0.8262,0.0223,0.7501,0.0208,0.7859,0.0118,0.8994,0.0024,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=2-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,2,2,32,32,0.01,0.0005,False,relu,0.5,mean,964,0.4566,0.0,6085.0,1.1574,0.0,0.8006,0.0,0.7982,0.0,0.6964,0.0,0.7439,0.0,0.8558,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=2-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,2,2,64,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,843,0.0374,0.0103,18501.0,1.1348,0.0865,0.9984,0.0016,0.9988,0.0012,0.9975,0.0025,0.9981,0.0019,1.0,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=2-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,2,2,64,32,0.01,0.0005,False,relu,0.0,mean,930,0.1521,0.0161,18309.0,0.8337,0.011,0.9523,0.0063,0.9659,0.0042,0.9173,0.0155,0.9409,0.008,0.9794,0.0059,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=2-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,2,2,64,32,0.01,0.0005,False,relu,0.5,max_of_concat_layers,990,0.3357,0.0204,18501.0,0.8211,0.0287,0.8592,0.0118,0.8469,0.0188,0.8038,0.0107,0.8248,0.0128,0.9268,0.0076,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=2-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,2,2,64,32,0.01,0.0005,False,relu,0.5,mean,540,0.4528,0.0137,18309.0,0.9524,0.0456,0.7961,0.0126,0.8013,0.0148,0.6744,0.0218,0.7323,0.0168,0.8588,0.0091,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=2-h=64-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,2,3,32,32,0.01,0.0005,False,relu,0.0,max_of_concat_layers,923,0.064,0.0164,7271.0,1.5304,0.1476,0.992,0.0059,0.9897,0.0103,0.991,0.004,0.9903,0.0071,0.9995,0.0005,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=3-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,gcnconv,False,2,3,32,32,0.01,0.0005,False,relu,0.0,mean,976,0.2992,0.012,7143.0,1.0924,0.0814,0.8844,0.0031,0.9005,0.0082,0.8106,0.0034,0.8531,0.0041,0.9376,0.0062,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=3-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,gcnconv,False,2,3,32,32,0.01,0.0005,False,relu,0.5,max_of_concat_layers,934,0.4083,0.0265,7271.0,0.9046,0.0778,0.8203,0.019,0.8167,0.0214,0.7306,0.0327,0.7712,0.027,0.8891,0.0173,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=gcnconv-edges=False-k1=2-k2=3-h=32-batch_size=32-lr=0.01-weight_decay=0.0005-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
