type,layer_type,layers_k1,layers_k2,dilated_path_join,learn_alpha_residual_connection,epoch,ckpt_epoch,ckpt_epoch_std,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated_gnn,eginconv,1.0,2.0,add,True,val_best,69.5,21.2897,0.0855,0.0122,870605.0,17.8903,0.3315,0.9736,0.0028,0.775,0.0278,0.4104,0.0895,0.5315,0.0935,0.9272,0.0344
dilated_gnn,eginconv,1.0,2.0,concat,False,val_best,67.5,17.5457,0.085,0.0094,870903.0,17.3294,0.2079,0.9742,0.0018,0.7881,0.0166,0.4226,0.0519,0.5488,0.0476,0.9284,0.0229
dilated_gnn,eginconv,1.0,2.0,concat,True,val_best,73.5,19.3817,0.0831,0.0106,870905.0,17.7798,0.2721,0.9742,0.0023,0.7818,0.0239,0.4286,0.0648,0.5515,0.0618,0.9334,0.0265
dilated_gnn,eginconv,1.0,2.0,none,False,val_best,78.4,9.1564,0.0787,0.0058,870603.0,17.1526,0.3579,0.9751,0.0012,0.7903,0.0146,0.455,0.0296,0.5772,0.027,0.9451,0.0122
dilated_gnn,eginconv,1.0,2.0,none,True,val_best,64.2,23.9742,0.0976,0.0238,870605.0,17.4824,0.1552,0.9715,0.0038,0.6878,0.2308,0.3433,0.1354,0.4548,0.1682,0.8707,0.134
dilated_gnn,eginconv,1.0,3.0,add,False,val_best,59.8,24.2066,0.1021,0.0121,1142104.0,22.7878,0.4093,0.9704,0.0029,0.7525,0.0283,0.3074,0.0945,0.4291,0.1054,0.8778,0.0355
dilated_gnn,eginconv,1.0,3.0,add,True,val_best,68.1,24.4681,0.101,0.0106,1142107.0,13.103,0.1784,0.9704,0.0026,0.7646,0.0254,0.2995,0.086,0.4243,0.0949,0.8842,0.0335
dilated_gnn,eginconv,1.0,3.0,concat,False,val_best,79.7,23.8455,0.0959,0.0106,1142404.0,23.33,0.4514,0.9715,0.0025,0.7686,0.0235,0.3368,0.0841,0.4626,0.0941,0.8998,0.032
dilated_gnn,eginconv,1.0,3.0,concat,True,val_best,79.7,16.4806,0.0986,0.007,1142407.0,22.7073,0.1793,0.9703,0.0016,0.7527,0.0085,0.3063,0.0591,0.4323,0.0614,0.8954,0.0214
dilated_gnn,eginconv,1.0,3.0,none,False,val_best,72.7,14.5399,0.0982,0.0065,1142104.0,22.8194,0.2638,0.9716,0.0016,0.7667,0.0218,0.3461,0.0425,0.476,0.044,0.8888,0.0196
dilated_gnn,eginconv,1.0,3.0,none,True,val_best,75.6,23.3803,0.1073,0.0109,1142107.0,22.4028,0.2785,0.9694,0.0024,0.7407,0.031,0.2741,0.0822,0.3944,0.0935,0.8631,0.0353
dilated_gnn,eginconv,2.0,1.0,add,False,val_best,73.4,15.0013,0.097,0.0044,870602.0,11.2209,0.2415,0.9714,0.001,0.7573,0.0177,0.3496,0.0313,0.4777,0.0317,0.8975,0.0143
dilated_gnn,eginconv,2.0,1.0,add,True,val_best,69.9,17.3865,0.0977,0.0056,870603.0,15.8508,0.4354,0.971,0.0013,0.7544,0.0161,0.3353,0.0398,0.4632,0.041,0.8955,0.0175
dilated_gnn,eginconv,2.0,1.0,concat,False,val_best,83.6,9.5205,0.0934,0.0047,870902.0,12.3283,0.1323,0.9718,0.0011,0.7577,0.02,0.3616,0.0255,0.4893,0.0272,0.9088,0.0133
dilated_gnn,eginconv,2.0,1.0,concat,True,val_best,67.2,19.5643,0.1,0.0077,870903.0,12.8682,0.2011,0.9704,0.0018,0.7417,0.0238,0.3167,0.0578,0.4415,0.0623,0.8886,0.0258
